ZIP,MedianIncome
04982,35893
04983,35921
04984,41000
04985,21875
04986,46875
04987,37344
04988,40288
04989,55759
04992,
05001,62480
05031,81250
05032,53365
05033,48980
05034,76161
05035,54792
05036,59688
05037,77019
05038,48864
05039,51406
05040,68015
05041,66293
05042,
05043,67083
05045,65163
05046,48550
05048,61449
05050,
05051,49375
05052,53990
05053,101875
05055,108711
05056,58750
05058,58906
05059,
05060,54485
05061,62135
05062,48942
05065,59803
05067,121000
05068,50901
05069,59063
05070,93333
05071,
05072,70078
05075,82614
05076,46250
05077,61953
05079,56579
05081,25795
05083,43958
05084,59012
05086,54875
05089,52549
05091,77039
05101,42521
05141,25469
05142,48182
05143,47883
05146,53281
05148,72500
05149,49917
05150,16944
05151,53333
05152,81719
05153,51500
05154,37875
05155,43625
05156,48576
05158,46571
05161,72188
05201,47276
05250,54231
05251,62679
05252,55833
05253,82188
05254,88125
05255,49922
05257,49390
05260,85625
05261,55293
05262,65491
05301,47681
05340,53750
05341,50781
05342,41250
05343,51333
05345,56250
05346,55201
05350,35625
05352,69750
05353,60000
05354,69500
05355,49205
05356,49886
05358,60972
05359,53438
05360,51944
05361,62583
05362,125625
05363,51767
05401,41953
05403,66258
05404,45590
05405,
05408,67370
05439,
05440,55714
05441,63164
05442,60000
05443,60930
05444,63182
05445,117407
05446,68750
05447,38750
05448,73750
05450,57524
05452,76807
05454,73222
05455,84444
05456,69583
05457,65000
05458,64679
05459,47685
05461,56512
05462,77279
05463,53750
05464,65833
05465,96058
05468,76281
05471,41838
05472,63854
05473,78125
05474,74922
05476,45854
05477,84617
05478,58845
05481,
05482,100341
05483,70114
05485,60833
05486,78125
05487,68059
05488,59943
05489,98519
05491,63724
05492,67039
05494,91875
05495,78750
05602,64417
05640,56786
05641,49160
05647,43182
05648,66667
05649,78977
05650,64583
05651,54808
05652,54226
05653,51875
05654,45227
05655,54271
05656,37375
05657,103214
05658,51507
05660,78900
05661,49452
05663,68500
05664,
05667,56875
05669,58889
05672,54549
05673,77885
05674,66250
05675,56042
05676,68688
05677,64592
05678,
05679,57938
05680,59250
05681,72981
05682,54875
05701,46688
05730,62708
05732,49107
05733,53883
05734,62875
05735,56528
