"","ZIP","MedianIncome","PopulationPerHousingUnit","PopulationPerSqKm"
"213","29614",20000,24.1818181818182,4270.34455103976
"214","29634",NA,106.854166666667,1390.82757088391
"215","29707",81228,2.42144115426558,350.009808589288
"216","29733",NA,Inf,6133.8955641595
"217","29899",NA,Inf,1134.73555171252
"218","29904",NA,Inf,4594.55513378455
"219","29905",78750,192.6875,335.541062631703
"220","29907",67679,2.52922077922078,95.7402004394493
"221","29909",68351,1.73507187615186,94.1687753156378
"222","29912",NA,NA,0
"223","29915",140865,0.725938009787928,13.2991721742987
"224","29817",31829,1.99819168173599,15.7735982567482
"225","29321",44029,2.03180661577608,31.4573236512777
"226","29014",54128,2.00797266514806,4.1328771958337
"227","29038",33690,1.92116917626218,10.3975089612631
"228","29053",41847,2.30675797906706,83.8004788566631
"229","29055",28886,2.05549898167006,41.9956277608069
"230","29072",81286,2.57847302690872,265.275757333713
"231","29074",49643,0.286445012787724,1.81221249884586
"232","29114",40130,2.16053921568627,18.3520582410562
"233","29123",43977,2.5501046963805,47.4546513175611
"234","29178",37258,1.76719867914144,8.44122784719825
"235","29223",50665,2.18045435062152,751.983060833508
"236","29306",31125,2.00336280981442,321.664568795996
"237","29322",58225,2.31960784313726,54.0902759877534
"238","29376",63750,2.69855471438403,80.2644152459301
"239","29403",42076,2.07705446953881,1133.8534060868
"240","29406",35173,2.39189189189189,878.739392942068
"241","29414",70762,2.2010582010582,418.583984279085
"242","29471",44196,1.94779116465863,13.4472888961535
"243","29527",40409,2.29751773049645,63.2556359205665
"244","29530",43750,2.01998262380539,23.4314134907519
"245","29850",23359,1.36054421768707,35.4863470219366
"246","29856",41500,2.12322274881517,17.870733696866
"247","29906",47391,2.63809923423896,170.394895225034
"248","29916",55227,2.30780780780781,8.11186595947336
"249","29928",77725,0.721986941944591,245.729642129396
"250","29929",40385,1.70698466780239,5.10580219535306
"251","29160",39719,2.04197080291971,25.5360185900643
"252","29070",54867,2.11566072852965,35.3219659498992
"253","29113",44318,1.7177304964539,10.7964392560993
"254","29133",37120,2.23058252427184,6.49450733153003
"255","29335",34316,2.80406043437205,25.5309222172341
"256","29164",41626,2.27731461167179,19.6806428915511
"257","29205",51631,1.97321855571497,1454.0315810849
"258","29301",42796,2.31783952220203,499.961132099109
"259","29360",38770,2.11870319072535,54.8536566785352
"260","29431",53310,2.34695945945946,30.1329091497407
"261","29451",111372,0.987516718680339,103.55234141086
"262","29493",56250,2.64516129032258,76.7022221753393
"263","29505",53447,2.28568800588668,185.620896652392
"264","29543",NA,3.03125,12.1381992866854
"265","29563",28824,1.73417721518987,22.2800373001106
"266","29564",22467,1.82142857142857,4.49151925880828
"267","29624",24583,2.12490097702667,220.566668165747
"268","29627",42661,2.40092051250156,59.4853287863689
"269","29650",74597,2.45399549803039,746.271232559658
"270","29653",45581,2.22000948316738,25.4924031560379
"271","29655",37523,1.81305715783954,16.6527879477581
"272","29684",44182,2.18715083798883,24.9559450539204
"273","29702",29944,2.16301755907219,38.4982077797475
"274","29590",30409,2.7746835443038,12.7768343664563
"275","29560",38335,2.23470073974445,31.7392237107746
"276","29567",26367,2.33187772925764,9.67988936903439
"277","29574",32394,2.09212209833668,43.8966099628379
"278","29582",56138,0.5780758750786,268.968364599852
"279","29625",47198,2.12328666175387,200.943449408376
"280","29635",49500,1.33879781420765,6.75162234295446
"281","29683",43000,1.2202380952381,965.496806672146
"282","29686",NA,1.07718894009217,11.6484237950636
"283","29697",44767,2.3862828713575,133.20398090194
"284","29001",38830,2.30045351473923,11.8935823166916
"285","29481",34667,1.70713525026624,6.92217878430528
"286","29512",33840,2.38015447048043,31.9717137772832
"287","29550",42243,2.27837992013691,56.9033504529325
"288","29579",56339,2.00059612518629,352.55025949734
"289","29584",37452,1.98073701842546,8.35954994266127
"290","29591",36953,2.11965134706815,28.5125809787239
"291","29532",31921,2.14484823456535,76.871026760457
"292","29540",30580,2.46926605504587,18.6005412493003
"293","29545",29571,1.86804657179819,15.4924985486361
"294","29546",35022,2.23604826546003,7.68785207956331
"295","29554",36144,2.05803357314149,14.6418476920617
"296","29555",44118,2.32216905901116,24.0661816691812
"297","29556",30625,2.02326359832636,26.7482499626747
"298","29566",49477,1.55902931538393,219.706867024591
"299","29572",52283,0.575815150772248,422.235469756956
"300","29576",56060,1.47577385763872,304.329644413732
"301","29583",39003,2.20088300220751,17.9744319903239
"302","29596",42661,1.76566314076485,12.4307191580838
"303","29605",48235,2.3270243168714,556.227693444248
"304","29609",48079,2.14860886206389,464.075076367947
"305","29611",33570,2.37890931950338,495.042004335335
"306","29628",25975,1.9802371541502,16.6208183192345
"307","29645",47559,2.29814108674928,34.5450662268143
"308","29659",25729,1.03488372093023,49.7719169893638
"309","29665",37159,1.17647058823529,263.7759759699
"310","29672",58833,1.84639927073838,89.3606080621505
"311","29685",66115,1.34384858044164,7.098318985787
"312","29691",34859,2.16839024390244,62.2736169063451
"313","29704",53462,2.44569536423841,51.2711260489025
"314","29849",38636,2.64285714285714,5.43962367491125
"315","29743",40096,1.69155206286837,10.6330261972727
"316","29829",53899,2.65215449877205,137.757568063115
"317","29847",44471,2.30183946488294,23.1440366123462
"318","29851",43780,2.23482769136932,133.112151187423
"319","29910",70414,2.40659469608073,135.134747010341
"320","29923",19583,2.0828729281768,10.9037607919751
"321","29941",22163,1.27886710239651,11.3000205427229
"322","29935",40998,1.89392478302797,465.432223441333
"323","29936",40478,2.33407344150299,21.7277308582506
"324","29075",68482,2.58141517476556,27.2040315192539
"325","29081",50337,1.77016129032258,6.29568528668297
"326","29111",42045,2.54670750382848,9.92044919717577
"327","29122",58281,1.33333333333333,32.1548150776935
"328","29142",33780,2.10596833130329,34.4183752865331
"329","29152",26798,2.91387559808612,150.971474651531
"330","29161",40383,2.27265388496468,32.2546836169059
"331","29166",53661,1.81410256410256,9.94675592152636
"332","29170",58086,2.40435025097602,340.689873693395
"333","29206",74112,2.0920492965427,792.967630674338
